Kp_real;Bz_GSM;Density;Speed;Magnitud_IMF
0,02;-0,634938478;-0,634482175;1,532475989;0,215848311
0,02;-0,026054556;-0,3928019;1,552311985;0,018656206
0,03;0,346041175;-0,070561533;1,939113905;0,741693924
0,03;0,684310021;0,030138582;2,187063854;0,478771117
0,03;0,447521829;-0,473361991;2,633373762;0,906020678
3,667;0,007772329;-0,151121624;2,920995703;1,333270238
3,667;-0,465804055;0,171118743;2,792061729;1,267539536
3,667;0,007772329;0,211398788;2,653209758;1,300404887
3,667;-0,431977171;0,231538811;2,514357786;1,168943484
3,667;-0,770246017;-0,171261647;2,59370177;1,201808835
3,667;-0,262842748;-0,211541693;2,375505815;1,366135588
0,04;-0,026054556;-0,271961762;2,246571842;1,234674185
0,04;-1,379129939;-0,574062106;2,64329176;0,938886028
0,04;-0,533457825;-0,856022427;2,772225733;-0,178535898
3,667;-0,296669633;-0,815742381;2,811897725;-0,2442666
3,667;-0,330496517;-0,755322312;2,871405713;-0,474324055
3,667;0,143079867;-0,735182289;3,059847674;-0,474324055
3,667;0,007772329;-0,735182289;2,950749696;-0,441458705
3,667;0,278387406;-0,735182289;3,188781647;-0,342862652
3,667;-0,12753521;-0,775462335;2,821815723;-0,375728003
2,667;0,210733636;-0,795602358;2,792061729;-0,474324055
2,667;0,176906752;-0,775462335;2,722635743;-0,375728003
2,667;-0,12753521;-0,815742381;2,514357786;-0,277131951
2,333;0,041599213;-0,815742381;2,464767797;-0,211401249
2,333;-0,05988144;-0,856022427;2,69288175;-0,309997301
2,333;0,143079867;-0,896302473;2,375505815;-0,408593354
2,667;-0,229015863;-0,835882404;2,524275784;-0,309997301
2,667;-0,093708325;-0,835882404;2,742471739;-0,2442666
2,667;0,684310021;-0,856022427;2,563947776;-0,277131951
2,667;0,176906752;-0,87616245;2,49452179;-0,277131951
2,667;0,041599213;-0,835882404;2,504439788;-0,309997301
2,667;0,109252983;-0,775462335;2,603619768;-0,342862652
2,667;0,210733636;-0,755322312;2,563947776;-0,441458705
2,667;0,041599213;-0,715042266;2,623455764;-0,605785458
2,667;-0,026054556;-0,735182289;2,583783772;-0,474324055
0,03;0,244560521;-0,755322312;2,504439788;-0,342862652
0,03;0,176906752;-0,735182289;2,49452179;-0,277131951
0,03;-0,12753521;-0,735182289;2,534193782;-0,277131951
3,667;-0,330496517;-0,755322312;2,613537766;-0,309997301
3,667;-0,026054556;-0,775462335;2,375505815;-0,408593354
3,667;0,109252983;-0,795602358;2,286243833;-0,277131951
0,03;0,176906752;-0,835882404;2,415177807;-0,342862652
0,03;-0,398150286;-0,835882404;2,990421688;-0,67151616
0,03;-0,601111594;-0,856022427;3,069765672;-0,540054757
3,333;-0,330496517;-0,87616245;3,119355662;-0,802977563
3,333;0,109252983;-0,87616245;2,801979727;-0,770112212
3,333;0,075426098;-0,856022427;2,64329176;-0,605785458
2,667;0,31221429;-0,896302473;2,583783772;-0,441458705
2,667;0,278387406;-0,856022427;2,633373762;-0,309997301
2,667;-0,567284709;-0,835882404;2,772225733;-0,2442666
4,333;-0,668765363;-0,755322312;2,801979727;-0,277131951
4,333;0,346041175;-0,735182289;2,722635743;-0,441458705
4,333;0,176906752;-0,775462335;2,583783772;-0,572920108
0,04;0,650483136;-0,755322312;2,64329176;-0,507189406
0,04;-0,12753521;-0,775462335;2,633373762;-0,540054757
0,04;0,278387406;-0,775462335;2,534193782;-0,572920108
3,333;0,582829367;-0,795602358;2,54411178;-0,474324055
3,333;-0,431977171;-0,815742381;2,613537766;-0,474324055
3,333;-0,330496517;-0,856022427;2,633373762;-0,474324055
0,03;-0,296669633;-0,835882404;2,276325835;-0,342862652
0,03;0,346041175;-0,835882404;2,286243833;-0,342862652
0,03;-0,12753521;-0,815742381;2,335833823;-0,441458705
0,03;0,210733636;-0,815742381;2,464767797;-0,540054757
0,03;-0,431977171;-0,755322312;2,474685795;-0,342862652
0,03;-0,262842748;-0,795602358;2,59370177;-0,277131951
2,667;0,718136905;-0,735182289;2,702799748;-0,540054757
2,667;0,109252983;-0,715042266;2,673045754;-0,572920108
2,667;0,447521829;-0,755322312;2,54411178;-0,605785458
2,333;-0,161362094;-0,715042266;2,484603793;-0,540054757
2,333;-0,49963094;-0,775462335;2,49452179;-0,211401249
2,333;-1,007034209;-0,795602358;2,673045754;0,018656206
3,333;-0,736419132;-0,735182289;2,59370177;-0,277131951
3,333;-0,330496517;-0,694902243;2,504439788;-0,309997301
3,333;0,143079867;-0,694902243;2,405259809;-0,342862652
0,03;0,007772329;-0,715042266;2,355669819;-0,408593354
0,03;0,176906752;-0,755322312;2,425095805;-0,474324055
0,03;-0,296669633;-0,835882404;2,653209758;-0,540054757
2,667;-0,161362094;-0,856022427;2,514357786;-0,441458705
2,667;-0,195188979;-0,916442496;2,573865774;-0,441458705
2,667;-0,601111594;-0,87616245;2,563947776;-0,441458705
3,667;-0,229015863;-0,87616245;2,474685795;-0,605785458
3,667;0,278387406;-0,896302473;2,355669819;-0,638650809
3,667;0,075426098;-0,856022427;2,385423813;-0,540054757
0,04;-0,05988144;-0,87616245;2,583783772;-0,507189406
0,04;-0,161362094;-0,936582519;2,395341811;-0,540054757
0,04;0,31221429;-0,997002587;2,286243833;-0,540054757
3,333;-0,567284709;-0,976862564;2,246571842;-0,507189406
3,333;-0,770246017;-0,896302473;2,425095805;-0,507189406
3,333;0,447521829;-0,956722542;2,226735846;-0,572920108
2,333;-0,161362094;-0,916442496;2,177145856;-0,441458705
2,333;-0,161362094;-0,916442496;2,504439788;-0,474324055
2,333;-0,026054556;-0,896302473;2,524275784;-0,408593354
1,667;0,515175598;-0,956722542;2,137473864;-0,507189406
1,667;0,176906752;-0,997002587;2,068047878;-0,507189406
1,667;-0,05988144;-0,997002587;2,018457889;-0,572920108
0,02;0,041599213;-0,997002587;1,968867899;-0,540054757
0,02;0,346041175;-0,956722542;2,077965876;-0,507189406
0,02;0,143079867;-0,956722542;1,978785897;-0,441458705
3,333;-0,195188979;-0,936582519;2,335833823;-0,408593354
3,333;-0,93938044;-0,896302473;2,524275784;-0,211401249
3,333;-0,229015863;-0,87616245;2,365587817;-0,145670548
3,333;-0,195188979;-0,856022427;2,395341811;-0,145670548
3,333;-0,12753521;-0,795602358;2,226735846;-0,145670548
3,333;0,447521829;-0,755322312;2,246571842;-0,309997301
1,333;0,819617559;-0,735182289;2,315997827;-0,441458705
1,333;0,278387406;-0,775462335;2,365587817;-0,474324055
1,333;0,549002482;-0,815742381;2,196981852;-0,770112212
2,333;0,413694944;-0,87616245;2,048211882;-0,605785458
2,333;0,447521829;-0,896302473;1,949031903;-0,67151616
2,333;-0,161362094;-0,956722542;1,849851923;-0,737246862
0,02;0,075426098;-0,956722542;1,820097929;-0,638650809
0,02;0,549002482;-0,936582519;1,830015927;-0,572920108
0,02;0,515175598;-0,956722542;1,62173797;-0,540054757
0,02;0,176906752;-0,856022427;1,691163956;-0,704381511
0,02;-0,12753521;-0,815742381;1,710999952;-0,737246862
0,02;0,379868059;-0,735182289;1,780425938;-0,770112212
0,02;0,007772329;-0,654622198;1,909359911;-0,605785458
0,02;0,650483136;-0,553922083;1,780425938;-0,572920108
0,02;-0,195188979;-0,654622198;1,750671944;-0,638650809
0,667;0,176906752;-0,735182289;1,710999952;-0,704381511
0,667;0,379868059;-0,755322312;1,631655968;-0,770112212
0,667;0,413694944;-0,815742381;1,482885999;-0,802977563
0,01;0,075426098;-0,815742381;1,502721995;-0,770112212
0,01;0,176906752;-0,835882404;1,294444038;-0,967304317
0,01;0,549002482;-0,715042266;1,373788021;-0,704381511
3,667;-0,026054556;-0,614342152;1,423378011;-0,408593354
3,667;-0,871726671;-0,433081945;1,314280034;-0,408593354
3,667;-1,142341747;-0,513642037;1,264690044;-0,145670548
0,03;-1,007034209;-0,493502014;1,195264058;-0,277131951
0,03;-0,567284709;-0,352521854;1,036576091;-0,67151616
0,03;-0,262842748;-0,513642037;0,996904099;-0,737246862
2,667;-0,229015863;-0,53378206;1,016740095;-0,967304317
2,667;-0,093708325;-0,332381831;0,877888124;-1,033035019
2,667;-0,229015863;-0,292101785;0,907642118;-0,704381511
2,667;-0,093708325;-0,3928019;0,917560115;-0,737246862
2,667;0,31221429;-0,352521854;1,046494089;-0,901573616
2,667;-0,12753521;-0,453221968;0,996904099;-0,605785458
0,02;0,075426098;-0,553922083;0,986986101;-0,474324055
0,02;-0,330496517;-0,372661877;0,977068103;-0,638650809
0,02;-0,229015863;-0,3928019;0,937396111;-0,572920108
1,667;-0,229015863;-0,3928019;0,867970126;-0,572920108
1,667;0,379868059;-0,513642037;0,977068103;-0,309997301
1,667;1,12405952;-0,594202129;1,096084079;-0,342862652
0,333;1,191713289;-0,654622198;1,056412087;-0,572920108
0,333;0,819617559;-0,775462335;0,907642118;-0,408593354
0,333;0,887271328;-0,674762221;0,818380136;-0,540054757
0,01;-0,229015863;-0,594202129;0,649774171;-0,802977563
0,01;-0,567284709;-0,574062106;0,600184181;-0,802977563
0,01;-0,229015863;-0,553922083;0,481168205;-0,802977563
2,333;0,007772329;-0,513642037;0,41174222;-0,835842914
2,333;-0,668765363;-0,453221968;0,381988226;-0,770112212
2,333;-0,398150286;-0,372661877;0,322480238;-0,802977563
2,333;0,007772329;-0,412941922;0,272890248;-1,033035019
2,333;-0,330496517;-0,3928019;0,233218256;-1,000169668
2,333;-0,026054556;-0,3928019;0,163792271;-1,000169668
0,02;-0,026054556;-0,332381831;0,114202281;-1,164496422
0,02;0,210733636;-0,332381831;0,054694293;-1,065900369
0,02;0,143079867;-0,332381831;0,034858297;-1,065900369
0,02;-0,05988144;-0,352521854;0,024940299;-1,033035019
0,02;-0,296669633;-0,312241808;0,005104303;-1,065900369
0,02;-0,49963094;-0,271961762;-0,014731692;-1,033035019
2,333;-0,330496517;-0,3928019;-0,014731692;-0,737246862
2,333;-0,229015863;-0,3928019;-0,014731692;-0,835842914
2,333;0,143079867;-0,292101785;-0,034567688;-1,000169668
0;0,549002482;-0,352521854;-0,07423968;-0,967304317
0;0,278387406;-0,352521854;-0,133747668;-1,065900369
0;-0,05988144;-0,292101785;-0,163501662;-1,065900369
0,333;0,31221429;-0,151121624;-0,183337658;-1,033035019
0,333;0,346041175;-0,19140167;-0,183337658;-0,835842914
0,333;-0,026054556;-0,110841579;-0,332107627;-1,164496422
0;0,447521829;-0,05042151;-0,322189629;-0,901573616
0;0,109252983;0,009998559;-0,332107627;-0,704381511
0;0,718136905;0,070418628;-0,332107627;-0,540054757
0;0,988751982;0,090558651;-0,401533613;-0,638650809
0;0,819617559;0,130838697;-0,441205605;-0,572920108
0;0,616656251;0,271818857;-0,461041601;-0,605785458
1,333;0,143079867;0,412799018;-0,441205605;-0,507189406
1,333;-0,093708325;0,412799018;-0,431287607;-0,408593354
1,333;-0,330496517;0,594059224;-0,411451611;-0,441458705
1,667;0,007772329;0,594059224;-0,540385584;-0,572920108
1,667;-0,262842748;0,453079063;-0,500713592;-0,441458705
1,667;-0,431977171;0,513499132;-0,490795594;-0,408593354
0,01;-0,465804055;0,735039384;-0,520549588;-0,540054757
0,01;-0,431977171;1,016999705;-0,51063159;-0,572920108
